,sxiv,"image viewer"
,chafa, "to preview images in lf"
,man,"manual page reader"
,pass, "password manager"
A,ytop, "task manager"
,fzf, "fuzzy finder"
A,tomb-git, "needed for pass-tomb"
A,pass-tomb, "to protect the architecture of the passwords"
,xorg-server, "graphical server"
,xorg-xinit, "starts the graphical server"
,xorg-xev, "to print keycodes"
,xorg-xinput, "to manage x devices"
,xorg-xprop, "to detect window properties"
,xorg-xrandr, "to manage resolutions"
,xorg-xbacklight, "to manage brightness"
,xorg-xset, "to manage x rate"
,biber, "to make bibliographies in latex docs"
,bluez, "for bluetooth protocol"
,bluez-utils, "for bluetoothcli"
,libva-intel-driver, "for hardware acceleration, to be changed if cpu uses broadwell and newer"
,pulseaudio-alsa, "audio server"
,pulseaudio-bluetooth, "needed for bluetooth headset support"
,pulsemixer, "cli audio front-end"
,xournalpp, "to edit pdf files"
,texlive-lang, "latex"
,texlive-most, "latex"
,fcron, "cronjobs manager"
,neomutt, "email client"
,isync, "for imap"
,msmtp, "for smtp"
,abook, "for adress book"
,xwallpaper, "to set wallpaper"
,xcompmgr, "to manage transparency"
,yubikey-manager, "for yubikey"
,ttf-linux-libertine, "fonts for sans-serif and sans"
,ttf-liberation, "fonts for monospace"
,openssh, "needed to easily restart dwm and for ssh"
,noto-fonts-emoji, "emoji font"
,gimp, "to edit graphically images"
,nvidia, "nvidia drivers"
,dash, "posix shell"
,reflector, "to rank mirrors"
,qutebrowser, "graphical browser"
A,clipmenu-git, "to manage clipboard with dmenu"
,mpv, "nice video player"
,wmname, "set the name of the wm"
,highlight, "highlights code, used for lf preview"
,xorg-fonts,"fonts for graphical server"
,unclutter, "to remove mouse when idle"
,zathura,"pdf viewer"
,zathura-pdf-mupdf, "allows mupdf compatibility in zathura"
A,lf-git, "is an extensive terminal file manager"
,git,"dling config repos"
G,https://github.com/LukeSmithxyz/st, "simple terminal emulator"
G,https://github.com/LukeSmithxyz/dmenu, "suckless soft launcher and much more"
A,pinentry-dmenu, "for gpg"
G,https://github.com/Rhylx/dwm, "windows manager"
G,https://github.com/LukeSmithxyz/dwmblocks, "status bar for window manager"
G,https://github.com/Rhylx/slock, "locker"
