,dmenu,"command runner"
,feh,"image viewer"
,man,"manual page reader"
,ttf-linux-libertine, "fonts for sans-serif and sans"
,ttf-inconsolata, "fonts for monospace"
,xorg-server, "graphical server"
,xorg-xinit, "starts the graphical server"
,xorg-xev, "to print keycodes"
,xorg-xinput, "to manage x devices"
,xorg-xprop, "to detect window properties"
,xorg-xrandr, "to manage resolutions"
,xorg-xset, "to manage x rate"
A, lf-git, "is an extensive terminal file manager"
,git,"dling config repos"
G,https://github.com/LukeSmithxyz/st, "simple terminal emulator"
G,https://github.com/LukeSmithxyz/dwmblocks, "status bar for window manager"
